"","","K. Dillen et al.","/ European Journal of Pharmaceutics and Biopharmaceutics 58 (2004) 539–549","","","","","547"
"Table 4","","","","","","","",""
"","Mean values of slopes of DFS (dynamic frequency sweep) curves (log G0 or G00 versus log v) of Carbopolw solutions ðn ¼ 2Þ","","","","","","",""
"","","Before freeze-drying","","After freeze-drying","","After g-sterilisation","",""
"","Slope ðG0Þ","","Slope ðG00Þ","Slope ðG0Þ","Slope ðG00Þ","Slope ðG0Þ","","Slope ðG00Þ"
"CP 974","0.03","","0.05","0.10","0.14","0.07","0.09",""
"CP 980","0.37","","0.24","0.04","0.04","0.01","0.03",""
"CP 1342","0.04","","0.06","0.03","0.06","0.01","0.02",""
